Ref,Val,Package,PosX,PosY,Rot,Side
"C16","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",375.822120,-127.525000,0.000000,top
"C17","C","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",375.872120,-113.975000,0.000000,top
"D1","D","D_SOD-123",377.358820,-132.338450,90.000000,top
"D2","D","D_SOD-123",358.500000,-224.470000,90.000000,top
"D3","D","D_SOD-123",372.400000,-224.170000,90.000000,top
"D4","D","D_SOD-123",354.500000,-184.295000,90.000000,top
"D5","D","D_SOD-123",363.925000,-184.270000,90.000000,top
"D6","D","D_SOD-123",371.500000,-184.100000,90.000000,top
"D7","D","D_SOD-123",379.500000,-184.350000,90.000000,top
"D8","LED","LED_D3.0mm",354.500000,-225.595000,90.000000,top
"D9","LED","LED_D3.0mm",367.400000,-225.320000,90.000000,top
"D10","D","D_SOD-123",359.600000,-204.650000,90.000000,top
"D11","D","D_SOD-123",372.144484,-204.500000,90.000000,top
"D12","LED","LED_D3.0mm",353.700000,-206.040000,90.000000,top
